start time 0:hr:min:sec,end time 0:hr:min:sec,Annotations,Layer,Index
0:04:43[.16] [.162],0:04:53[.7] [.737],"High volume electronic/vibrational polyphonic tone concentrated in low pitches (with some mid-pitch) crescendoes into brassy mid-high pitch, while maintaining underlying vibrational low pitch",,
0:04:52[.14] [.140],0:05:23[.27] [.271],"Oana's voice begins at mid volume and pitch, each of which decrease at a gradual and fluctuating rate. Initial repetition of ""end,"" and very aspirant onset and offset in second half",,
0:04:53[.7] [.737],0:06:31[.10] [.106],"Return to baseline lectronic tone with low pitch [bass, vibrational] and low volume that vary in consistent intervals",,
0:04:57[.7] [.728],0:05:07[.4] [.466],Various friction sounds,,
0:05:07[.81] [.817],0:05:07[.98] [.987],"Mid-pitch, mid-volume pop with hard onset and soft offset",,
0:05:11[.15] [.152],0:05:22[.8] [.873],"Oana's voice, speaking initially with hard onset and soft offset, moving to soft onset and offset. Initially mid-volume and low-pitch, moving to a whisper",,
0:05:11[.90] [.902],0:05:11[.96] [.963],"Mid-volume, mid-pitch pop with hard onset and offset",,
0:05:16[.01] [.012],0:05:16[.04] [.044],"Mid-volume, mid-pitch pop with hard onset and offset",,
0:05:20[.10] [.107],0:05:20[.14] [.147],"Mid-volume, mid-pitch pop with hard onset and offset",,
0:05:24[.07] [.072],0:05:50[.01] [.018],Various sporadic pops/clicks with low volume and low to mid pitch,,
0:05:50[.07] [.078],0:06:30[.15] [.151],"Oana's voice, speaking with variable speed, low-mid volume and long pauses between phrases. Generally soft onset and offset.",,
0:05:58[.9] [.932],0:06:07[.7] [.732],"Mid-pitch, mid-volume rough cracking friction sound at varying intervals and with varying tones. Sounds like it's in the foreground, in the space---mixes with Oana's voice rather than underlying or overlaying ",,
0:06:06[.0] [.087],0:06:18[.2] [.275],"Low-volume, high pitch fluctuating electronic tone in background",,
0:06:15[.0] [.024],0:06:2[1] [.042],"Brassy, vibrational mid-volume, low-pitch rumbling sound in back/midground",,
0:06:18[.43] [.430],0:06:18[.46] [.466],"Mid-pitch, mid-volume pop with hard onset and offset",,
0:06:22[.3] [.396],0:06:22[.4] [.471],"Mid-pitch, low-volume click with soft onset and offset",,
0:06:29[.3] [.308],0:06:29[.5] [.531],"Low-pitch, low-volume blunt tap in background",,
0:06:29[.48] [.481],0:06:29[.6] [.648],"High-pitch, low volume beep ",,
0:06:30[.6] [.624],0:06:34[.800],Static concentrated in low pitches at mid-volume,,
0:06:30[.6] [.624],0:06:34[.800],Various clicks/bumps in background at low volume and low-mid pitches,,
0:06:34[.6] [.619],0:06:34[.800],"Mid-volume, mid-pitch, hollow toned sound",,
